position,time,speed,acceleration
"(1392, 685)",0,0,1200.795
"(1395, 683)",0.033,40.027,1198.005
"(1394, 684)",0.067,0.093,1.696
"(1380, 686)",0.1,0.036,9.851
"(1362, 690)",0.133,0.365,3.326
"(1341, 696)",0.167,0.476,2.633
"(1316, 701)",0.2,0.563,2.829
"(1286, 706)",0.233,0.658,3.807
"(1252, 712)",0.267,0.785,3.182
"(1214, 718)",0.3,0.891,3.054
"(1169, 722)",0.333,0.993,5.191
"(1119, 727)",0.367,1.166,3.926
"(1066, 730)",0.4,1.296,2.195
"(1011, 730)",0.433,1.37,1.482
"(956, 729)",0.467,1.419,0.007
"(902, 727)",0.5,1.419,0.752
"(850, 721)",0.533,1.394,1.31
"(799, 717)",0.567,1.351,0.92
"(749, 710)",0.6,1.32,0.518
"(698, 702)",0.633,1.303,0.879
"(649, 692)",0.667,1.332,1.249
"(606, 681)",0.7,1.29,4.354
"(569, 673)",0.733,1.145,5.054
"(537, 664)",0.767,0.977,3.571
"(513, 658)",0.8,0.858,6.581
"(496, 654)",0.833,0.638,5.63
"(485, 651)",0.867,0.451,4.692
"(478, 650)",0.9,0.294,3.352
"(479, 651)",0.933,0.182,4.378
"(482, 654)",0.967,0.036,2.189
"(491, 659)",1.0,0.109,4.685
"(508, 663)",1.033,0.266,5.549
"(533, 671)",1.067,0.451,6.799
"(564, 681)",1.1,0.677,4.895
"(603, 692)",1.133,0.84,6.152
"(643, 702)",1.167,1.045,0.549
"(687, 712)",1.2,1.064,3.012
"(732, 721)",1.233,1.164,0.595
"(779, 728)",1.267,1.184,1.259
"(828, 734)",1.3,1.226,1.43
"(880, 739)",1.333,1.274,2.224
"(936, 742)",1.367,1.348,2.973
"(992, 745)",1.4,1.447,0.0
"(1044, 743)",1.433,1.447,3.128
"(1096, 741)",1.467,1.343,0.0
"(1142, 737)",1.5,1.343,4.539
"(1183, 733)",1.533,1.191,3.854
"(1220, 728)",1.567,1.063,2.986
"(1254, 723)",1.6,0.963,2.299
"(1286, 716)",1.633,0.887,1.245
"(1312, 709)",1.667,0.845,4.513
"(1335, 703)",1.7,0.695,2.443
"(1352, 698)",1.733,0.613,4.682
"(1362, 696)",1.767,0.457,5.822
"(1364, 694)",1.8,0.263,5.704
"(1362, 694)",1.833,0.073,0.641
"(1354, 696)",1.867,0.052,4.835
"(1341, 699)",1.9,0.213,3.944
"(1325, 703)",1.933,0.344,2.439
"(1304, 707)",1.967,0.426,3.781
"(1278, 711)",2.0,0.552,3.815
"(1247, 715)",2.033,0.679,3.832
"(1211, 721)",2.067,0.806,4.055
"(1168, 725)",2.1,0.942,5.177
"(1121, 730)",2.133,1.114,3.158
"(1072, 731)",2.167,1.219,1.351
"(1022, 733)",2.2,1.264,0.797
"(972, 731)",2.233,1.291,0.0
"(922, 731)",2.267,1.291,0.031
"(873, 728)",2.3,1.29,0.703
"(822, 722)",2.333,1.267,1.749
"(774, 715)",2.367,1.325,2.201
